PROV,NOMPROV,DPTO,NOMDPTO,Region
2,Ciudad Autónoma de Buenos Aires,2001,Comuna 01,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2002,Comuna 02,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2003,Comuna 03,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2004,Comuna 04,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2005,Comuna 05,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2006,Comuna 06,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2007,Comuna 07,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2008,Comuna 08,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2009,Comuna 09,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2010,Comuna 10,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2011,Comuna 11,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2012,Comuna 12,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2013,Comuna 13,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2014,Comuna 14,Gran Buenos Aires
2,Ciudad Autónoma de Buenos Aires,2015,Comuna 15,Gran Buenos Aires
6,Buenos Aires,6028,Almirante Brown,Gran Buenos Aires
6,Buenos Aires,6035,Avellaneda,Gran Buenos Aires
6,Buenos Aires,6091,Berazategui,Gran Buenos Aires
6,Buenos Aires,6260,Esteban Echeverría,Gran Buenos Aires
6,Buenos Aires,6270,Ezeiza,Gran Buenos Aires
6,Buenos Aires,6274,Florencio Varela,Gran Buenos Aires
6,Buenos Aires,6371,General San Martín,Gran Buenos Aires
6,Buenos Aires,6408,Hurlingham,Gran Buenos Aires
6,Buenos Aires,6410,Ituzaingó,Gran Buenos Aires
6,Buenos Aires,6412,José C. Paz,Gran Buenos Aires
6,Buenos Aires,6427,La Matanza,Gran Buenos Aires
6,Buenos Aires,6434,Lanús,Gran Buenos Aires
6,Buenos Aires,6490,Lomas de Zamora,Gran Buenos Aires
6,Buenos Aires,6515,Malvinas Argentinas,Gran Buenos Aires
6,Buenos Aires,6539,Merlo,Gran Buenos Aires
6,Buenos Aires,6560,Moreno,Gran Buenos Aires
6,Buenos Aires,6568,Morón,Gran Buenos Aires
6,Buenos Aires,6658,Quilmes,Gran Buenos Aires
6,Buenos Aires,6749,San Fernando,Gran Buenos Aires
6,Buenos Aires,6756,San Isidro,Gran Buenos Aires
6,Buenos Aires,6760,San Miguel,Gran Buenos Aires
6,Buenos Aires,6805,Tigre,Gran Buenos Aires
6,Buenos Aires,6840,Tres de Febrero,Gran Buenos Aires
6,Buenos Aires,6861,Vicente López,Gran Buenos Aires
6,Buenos Aires,6007,Adolfo Alsina,Pampeana
6,Buenos Aires,6014,Adolfo Gonzáles Chaves,Pampeana
6,Buenos Aires,6021,Alberti,Pampeana
6,Buenos Aires,6042,Ayacucho,Pampeana
6,Buenos Aires,6049,Azul,Pampeana
6,Buenos Aires,6056,Bahía Blanca,Pampeana
6,Buenos Aires,6063,Balcarce,Pampeana
6,Buenos Aires,6070,Baradero,Pampeana
6,Buenos Aires,6077,Bartolomé Mitre,Pampeana
6,Buenos Aires,6084,Benito Juárez,Pampeana
6,Buenos Aires,6098,Berisso,Pampeana
6,Buenos Aires,6105,Bolívar,Pampeana
6,Buenos Aires,6112,Bragado,Pampeana
6,Buenos Aires,6119,Brandsen,Pampeana
6,Buenos Aires,6126,Campana,Pampeana
6,Buenos Aires,6134,Cañuelas,Pampeana
6,Buenos Aires,6140,Capitán Sarmiento,Pampeana
6,Buenos Aires,6147,Carlos Casares,Pampeana
6,Buenos Aires,6154,Carlos Tejedor,Pampeana
6,Buenos Aires,6161,Carmen de Areco,Pampeana
6,Buenos Aires,6168,Castelli,Pampeana
6,Buenos Aires,6175,Colón,Pampeana
6,Buenos Aires,6182,Coronel de Marina L. Rosales,Pampeana
6,Buenos Aires,6189,Coronel Dorrego,Pampeana
6,Buenos Aires,6196,Coronel Pringles,Pampeana
6,Buenos Aires,6203,Coronel Suárez,Pampeana
6,Buenos Aires,6210,Chacabuco,Pampeana
6,Buenos Aires,6217,Chascomús,Pampeana
6,Buenos Aires,6224,Chivilcoy,Pampeana
6,Buenos Aires,6231,Daireaux,Pampeana
6,Buenos Aires,6238,Dolores,Pampeana
6,Buenos Aires,6245,Ensenada,Pampeana
6,Buenos Aires,6252,Escobar,Pampeana
6,Buenos Aires,6266,Exaltación de la Cruz,Pampeana
6,Buenos Aires,6277,Florentino Ameghino,Pampeana
6,Buenos Aires,6280,General Alvarado,Pampeana
6,Buenos Aires,6287,General Alvear,Pampeana
6,Buenos Aires,6294,General Arenales,Pampeana
6,Buenos Aires,6301,General Belgrano,Pampeana
6,Buenos Aires,6308,General Guido,Pampeana
6,Buenos Aires,6315,General Juan Madariaga,Pampeana
6,Buenos Aires,6322,General La Madrid,Pampeana
6,Buenos Aires,6329,General Las Heras,Pampeana
