,index
1943-01-15,9.2847e-13
1943-02-15,9.2309e-13
1943-03-15,9.3765e-13
1943-04-15,9.4387e-13
1943-05-15,9.3567e-13
1943-06-15,9.3666e-13
1943-07-15,8.8379e-13
1943-08-15,8.929799999999999e-13
1943-09-15,8.847799999999999e-13
1943-10-15,8.939700000000001e-13
1943-11-15,8.939700000000001e-13
1943-12-15,8.9115e-13
1944-01-15,8.9737e-13
1944-02-15,8.992e-13
1944-03-15,9.05e-13
1944-04-15,8.948200000000001e-13
1944-05-15,8.9115e-13
1944-06-15,9.074e-13
1944-07-15,9.0655e-13
1944-08-15,9.194200000000001e-13
1944-09-15,9.1758e-13
1944-10-15,9.238e-13
1944-11-15,9.238e-13
1944-12-15,9.256399999999999e-13
1945-01-15,9.977299999999998e-13
1945-02-15,1.0168200000000001e-12
1945-03-15,1.0925899999999999e-12
1945-04-15,1.0935799999999999e-12
1945-05-15,1.09739e-12
1945-06-15,1.09796e-12
1945-07-15,1.1108200000000001e-12
1945-08-15,1.10079e-12
1945-09-15,1.10715e-12
1945-10-15,1.10799e-12
1945-11-15,1.1099700000000002e-12
1945-12-15,1.1344299999999998e-12
1946-01-15,1.2140200000000001e-12
1946-02-15,1.21585e-12
1946-03-15,1.2514799999999998e-12
1946-04-15,1.27311e-12
1946-05-15,1.26971e-12
1946-06-15,1.29134e-12
1946-07-15,1.2941700000000001e-12
1946-08-15,1.28512e-12
1946-09-15,1.28696e-12
1946-10-15,1.31877e-12
1946-11-15,1.3244200000000001e-12
1946-12-15,1.3470399999999999e-12
1947-01-15,1.33545e-12
1947-02-15,1.34449e-12
1947-03-15,1.42662e-12
1947-04-15,1.42747e-12
1947-05-15,1.42903e-12
1947-06-15,1.49575e-12
1947-07-15,1.47935e-12
1947-08-15,1.49292e-12
1947-09-15,1.49476e-12
1947-10-15,1.48656e-12
1947-11-15,1.50042e-12
1947-12-15,1.54791e-12
1948-01-15,1.52303e-12
1948-02-15,1.51865e-12
1948-03-15,1.54608e-12
1948-04-15,1.5551200000000001e-12
1948-05-15,1.59357e-12
1948-06-15,1.6390900000000002e-12
1948-07-15,1.6354200000000001e-12
1948-08-15,1.6690599999999998e-12
1948-09-15,1.73748e-12
1948-10-15,1.74285e-12
1948-11-15,1.74667e-12
1948-12-15,1.83968e-12
1949-01-15,1.84972e-12
1949-02-15,1.84506e-12
1949-03-15,1.97087e-12
1949-04-15,2.0667099999999998e-12
1949-05-15,2.12679e-12
1949-06-15,2.1516700000000003e-12
1949-07-15,2.19153e-12
1949-08-15,2.22899e-12
1949-09-15,2.2639099999999998e-12
1949-10-15,2.32583e-12
1949-11-15,2.40061e-12
1949-12-15,2.45885e-12
1950-01-15,2.41517e-12
1950-02-15,2.47807e-12
1950-03-15,2.47892e-12
1950-04-15,2.53278e-12
1950-05-15,2.65322e-12
1950-06-15,2.72899e-12
1950-07-15,2.72984e-12
1950-08-15,2.73521e-12
1950-09-15,2.84364e-12
1950-10-15,2.9515e-12
1950-11-15,2.94499e-12
1950-12-15,3.0025299999999997e-12
1951-01-15,2.97327e-12
1951-02-15,3.0609099999999997e-12
1951-03-15,3.0701e-12
1951-04-15,3.34745e-12
1951-05-15,3.5971e-12
1951-06-15,3.71655e-12
1951-07-15,3.744819999999999e-12
1951-08-15,4.09172e-12
1951-09-15,4.01397e-12
1951-10-15,4.13625e-12
1951-11-15,4.149819999999999e-12
