PROV,NOMPROV,Region
2,Ciudad Autónoma de Buenos Aires,Gran Buenos Aires
6,Buenos Aires,Pampeana
10,Catamarca,Noroeste
14,Córdoba,Pampeana
18,Corrientes,Noreste
22,Chaco,Noreste
26,Chubut,Patagónica
30,Entre Ríos,Pampeana
34,Formosa,Noreste
38,Jujuy,Noroeste
42,La Pampa,Pampeana
46,La Rioja,Cuyo
50,Mendoza,Cuyo
54,Misiones,Noreste
58,Neuquén,Patagónica
62,Río Negro,Patagónica
66,Salta,Noroeste
70,San Juan,Cuyo
74,San Luis,Cuyo
78,Santa Cruz,Patagónica
82,Santa Fe,Pampeana
86,Santiago del Estero,Noroeste
90,Tucumán,Noroeste
94,Tierra del Fuego,Patagónica
