DPTO,NOMDPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
2001,Comuna 01,223620,225878,228137,230395,232654,234912,237171,239429,241688,243946,245308,246689,248069,249433,250770,252053,253271,254408,255457,256405,257235,257934,258497,258922,259205
2002,Comuna 02,138156,139551,140947,142342,143737,145133,146528,147923,149319,150714,150573,150428,150278,150130,149985,149848,149720,149607,149510,149430,149371,149337,149328,149345,149389
2003,Comuna 03,175381,177153,178924,180695,182467,184238,186009,187780,189552,191323,191536,191750,191963,192171,192375,192573,192763,192945,193115,193276,193425,193560,193682,193790,193884
2004,Comuna 04,215358,217533,219708,221883,224058,226233,228408,230583,232758,234933,235497,236071,236646,237214,237769,238303,238809,239279,239712,240100,240437,240716,240937,241096,241193
2005,Comuna 05,169861,171577,173292,175008,176723,178439,180154,181870,183585,185301,185544,185789,186034,186276,186512,186740,186956,187159,187348,187518,187670,187800,187907,187991,188053
2006,Comuna 06,167794,169489,171183,172878,174573,176267,177962,179657,181351,183046,183309,183576,183843,184105,184363,184611,184846,185067,185271,185456,185620,185760,185875,185964,186028
2007,Comuna 07,217104,219297,221489,223682,225875,228067,230260,232453,234645,236838,237389,237946,238505,239057,239597,240116,240607,241065,241484,241861,242188,242460,242674,242828,242921
2008,Comuna 08,201337,203370,205404,207437,209471,211504,213538,215571,217605,219638,220655,221693,222733,223764,224770,225737,226649,227495,228266,228953,229541,230018,230380,230623,230745
2009,Comuna 09,154626,156188,157749,159311,160873,162434,163996,165558,167119,168681,168964,169248,169533,169814,170087,170353,170605,170842,171062,171264,171444,171600,171733,171839,171921
2010,Comuna 10,155259,156827,158396,159964,161532,163100,164668,166236,167804,169372,169506,169640,169775,169908,170037,170163,170282,170394,170497,170592,170677,170750,170811,170859,170896
2011,Comuna 11,173949,175705,177462,179219,180976,182733,184490,186246,188003,189760,189795,189829,189861,189893,189925,189956,189986,190016,190046,190076,190105,190135,190165,190195,190225
2012,Comuna 12,193712,195669,197625,199581,201538,203494,205451,207407,209364,211320,211699,212082,212467,212846,213218,213576,213914,214229,214518,214777,215002,215189,215335,215442,215505
2013,Comuna 13,215278,217452,219626,221801,223975,226149,228323,230498,232672,234846,235011,235178,235342,235506,235666,235819,235967,236107,236238,236358,236468,236566,236650,236723,236781
2014,Comuna 14,207617,209714,211811,213908,216005,218102,220198,222295,224392,226489,226558,226626,226692,226758,226821,226884,226944,227003,227060,227115,227168,227219,227268,227315,227360
2015,Comuna 15,167086,168774,170461,172149,173836,175524,177211,178899,180586,182274,182295,182315,182335,182354,182372,182390,182409,182427,182445,182465,182485,182506,182528,182551,182574
6028,Almirante Brown,515556,520164,524771,529379,533987,538594,543202,547810,552417,557025,561349,565509,569911,574263,578513,582541,586564,590418,594270,597969,601618,605271,608878,612438,616000
6035,Avellaneda,328980,330844,332707,334571,336434,338298,340161,342025,343888,345752,346847,347924,348999,350080,351165,352246,353273,354314,355352,356392,357440,358512,359550,360583,361532
6091,Berazategui,287913,292157,296401,300645,304889,309133,313377,317621,321865,326109,330277,334458,338647,342682,346658,350578,354447,358262,362021,365771,369294,372889,376431,379921,383458
6260,Esteban Echeverría,243974,250286,256599,262911,269223,275536,281848,288160,294473,300785,308861,316567,323806,331031,337890,344795,351564,358342,364641,370900,377237,383538,389731,395856,402021
6270,Ezeiza,118807,123749,128691,133634,138576,143518,148460,153403,158345,163287,169284,175333,181122,186842,192430,197895,203292,208615,213864,219031,224228,229276,234233,239220,244167
6274,Florencio Varela,348970,357611,366252,374893,383534,392174,400815,409456,418097,426738,436751,446287,455672,464939,473950,482757,491652,500225,508671,517082,525270,533446,541606,549812,557936
6371,General San Martín,403107,404764,406420,408077,409734,411390,413047,414704,416360,418017,418790,419531,420271,421009,421725,422440,423153,423877,424567,425265,425911,426556,427191,427783,428283
6408,Hurlingham,172245,173396,174547,175698,176849,178000,179151,180302,181453,182604,183764,184914,186052,187174,188280,189371,190447,191508,192554,193583,194597,195596,196582,197553,198509
6410,Ituzaingó,158121,159334,160547,161760,162973,164186,165399,166612,167825,169038,170292,171536,172766,173981,175177,176356,177521,178670,179801,180914,182011,182993,183959,184910,185845
6412,José C. Paz,230208,234327,238445,242564,246682,250801,254919,259038,263156,267275,271557,275801,279999,284145,288228,292304,296279,300035,303896,307443,311187,314878,318364,321710,324990
6427,La Matanza,1255288,1313315,1371342,1429369,1487396,1545422,1603449,1661476,1719503,1777530,1830526,1883251,1935394,1986784,2037428,2087359,2136695,2185597,2233860,2281194,2327874,2374149,2419872,2464843,2509547
6434,Lanús,453082,454246,455409,456573,457737,458900,460064,461228,462391,463555,463478,463401,463325,463251,463178,463106,463034,462964,462895,462827,462760,462693,462628,462564,462501
6490,Lomas de Zamora,591345,594689,598033,601377,604721,608064,611408,614752,618096,621440,624289,627150,630029,632842,635593,638287,640916,643437,645880,648312,650678,652937,655122,657218,659249
6515,Malvinas Argentinas,290691,294432,298173,301913,305654,309395,313136,316876,320617,324358,328087,331834,335491,339152,342798,346406,349867,353281,356643,359953,363263,366479,369648,372771,375896
6539,Merlo,469985,476832,483679,490526,497373,504221,511068,517915,524762,531609,539009,546383,554007,561566,569165,576737,584267,591763,599119,606413,613509,620307,626975,633540,639681
6560,Moreno,380503,388716,396928,405141,413353,421566,429778,437991,446203,454416,463151,472015,481041,489912,498713,507403,516093,524675,533292,541691,549930,558068,566103,574034,581729
6568,Morón,309380,311035,312691,314346,316002,317657,319313,320968,322624,324279,323680,323076,322489,321920,321351,320781,320218,319674,319138,318632,318104,317584,317073,316559,316073
6658,Quilmes,518788,526307,533827,541346,548865,556385,563904,571423,578943,586462,594412,602436,610259,618106,626006,633913,641742,649480,657123,664783,672199,679375,686466,693277,699997
6749,San Fernando,151131,152611,154091,155571,157051,158532,160012,161492,162972,164452,165554,166646,167726,168793,169844,170880,171902,172911,173904,174883,175845,176795,177731,178654,179563
6756,San Isidro,291505,291993,292480,292968,293456,293943,294431,294919,295406,295894,295428,294992,294597,294215,293848,293496,293157,292831,292520,292224,291963,291704,291448,291276,291097
6760,San Miguel,253086,255856,258627,261397,264167,266938,269708,272478,275249,278019,280822,283603,286386,289135,291845,294370,296861,299319,301740,304122,306469,308784,311065,313312,315526
6805,Tigre,301223,309589,317955,326320,334686,343052,351418,359783,368149,376515,386131,395623,404649,413442,422108,430660,438906,447040,455056,462998,470776,478432,485999,493467,500615
6840,Tres de Febrero,336467,337230,337994,338757,339521,340284,341048,341811,342575,343338,343441,343537,343617,343701,343792,343877,343917,343961,344011,344067,344117,344172,344221,344296,344354
6861,Vicente López,274082,273894,273706,273518,273330,273141,272953,272765,272577,272389,271677,271078,270598,270139,269705,269294,268897,268509,268064,267655,267257,266880,266538,266203,265885
6007,Adolfo Alsina,16245,16354,16462,16571,16679,16788,16896,17005,17113,17222,17249,17276,17303,17330,17356,17382,17407,17433,17458,17483,17507,17532,17556,17580,17603
6014,Adolfo Gonzáles Chaves,12037,12052,12066,12081,12095,12110,12124,12139,12153,12168,12142,12116,12091,12065,12040,12016,11992,11968,11944,11922,11899,11877,11855,11832,11811
6021,Alberti,10373,10414,10456,10497,10539,10580,10622,10663,10705,10746,10773,10799,10824,10850,10875,10900,10924,10948,10972,10995,11018,11041,11064,11085,11107
6077,Bartolomé Mitre,27279,27498,27717,27937,28156,28375,28594,28814,29033,29252,29473,29690,29905,30117,30326,30532,30735,30936,31133,31328,31520,31709,31895,32078,32259
6042,Ayacucho,19669,19762,19855,19948,20041,20133,20226,20319,20412,20505,20588,20671,20752,20832,20911,20990,21067,21143,21218,21291,21364,21436,21506,21577,21645
6049,Azul,62996,63312,63627,63943,64258,64574,64889,65205,65520,65836,66029,66221,66411,66598,66782,66965,67144,67321,67495,67667,67835,68002,68167,68329,68487
6056,Bahía Blanca,284776,286935,289094,291253,293412,295570,297729,299888,302047,304206,304829,305445,306056,306657,307250,307836,308413,308982,309544,310095,310639,311175,311704,312224,312738
6063,Balcarce,42039,42278,42517,42756,42995,43234,43473,43712,43951,44190,44349,44506,44662,44816,44966,45116,45262,45408,45551,45691,45829,45967,46102,46234,46365
6070,Baradero,29562,29941,30319,30698,31076,31455,31833,32212,32590,32969,33325,33677,34027,34371,34710,35045,35375,35701,36022,36338,36649,36956,37258,37556,37849
6084,Benito Juárez,19443,19553,19662,19772,19881,19991,20100,20210,20319,20429,20440,20450,20461,20472,20482,20493,20503,20513,20523,20532,20542,20551,20561,20570,20579
6098,Berisso,80092,81090,82087,83085,84082,85080,86077,87075,88072,89070,89877,90675,91466,92246,93015,93773,94522,95259,95987,96701,97406,98101,98786,99461,100126
6105,Bolívar,32442,32667,32892,33117,33342,33568,33793,34018,34243,34468,34626,34783,34939,35092,35244,35393,35540,35684,35828,35969,36108,36244,36378,36512,36642
6112,Bragado,40259,40420,40581,40743,40904,41065,41226,41388,41549,41710,41756,41801,41846,41891,41935,41978,42020,42062,42103,42144,42184,42223,42262,42301,42338
6119,Brandsen,22515,22956,23396,23837,24277,24718,25158,25599,26039,26480,26960,27436,27906,28371,28828,29279,29725,30164,30597,31023,31442,31856,32263,32665,33061
6126,Campana,83698,84958,86219,87479,88739,90000,91260,92520,93781,95041,96152,97252,98340,99415,100474,101518,102549,103565,104566,105552,106522,107480,108423,109352,110268
6134,Cañuelas,42575,43629,44683,45736,46790,47844,48898,49951,51005,52059,53205,54342,55468,56579,57673,58752,59817,60867,61903,62921,63923,64913,65888,66849,67795
6140,Capitán Sarmiento,12854,13045,13237,13428,13619,13811,14002,14193,14385,14576,14767,14957,15144,15329,15512,15692,15869,16044,16216,16387,16553,16718,16881,17041,17198
6147,Carlos Casares,21125,21267,21410,21552,21695,21837,21980,22122,22265,22407,22544,22680,22815,22947,23078,23206,23334,23459,23583,23704,23824,23941,24059,24173,24286
6154,Carlos Tejedor,11539,11555,11570,11586,11602,11617,11633,11649,11664,11680,11679,11678,11677,11676,11675,11674,11673,11672,11671,11671,11669,11669,11667,11667,11665
6161,Carmen de Areco,13992,14083,14174,14264,14355,14446,14537,14627,14718,14809,14888,14967,15044,15121,15197,15271,15345,15418,15489,15560,15629,15697,15765,15831,15896
6168,Castelli,7852,7898,7945,7991,8038,8084,8131,8177,8224,8270,8312,8354,8396,8437,8478,8517,8556,8595,8633,8671,8708,8744,8781,8816,8851
6210,Chacabuco,45445,45846,46247,46647,47048,47449,47850,48250,48651,49052,49431,49806,50179,50546,50907,51263,51615,51962,52304,52640,52971,53298,53620,53937,54249
6217,Chascomús,38647,39080,39514,39947,40381,40814,41248,41681,42115,42548,42992,43432,43868,44299,44722,45140,45552,45958,46359,46754,47141,47524,47902,48273,48640
6224,Chivilcoy,60762,61196,61631,62065,62499,62934,63368,63802,64237,64671,65066,65458,65845,66228,66605,66976,67343,67705,68062,68412,68758,69099,69435,69766,70091
6175,Colón,23179,23388,23598,23807,24016,24226,24435,24644,24854,25063,25276,25487,25695,25901,26105,26305,26503,26697,26889,27078,27264,27447,27629,27806,27982
6182,Coronel de Marina L. Rosales,60892,61094,61296,61499,61701,61903,62105,62308,62510,62712,62796,62880,62962,63044,63124,63203,63281,63358,63433,63508,63581,63654,63725,63795,63864
6189,Coronel Dorrego,16522,16464,16406,16347,16289,16231,16173,16114,16056,15998,15911,15829,15747,15668,15589,15511,15435,15359,15285,15212,15141,15070,15000,14931,14864
6196,Coronel Pringles,23794,23726,23657,23589,23521,23452,23384,23316,23247,23179,23068,22965,22861,22760,22659,22561,22463,22368,22273,22180,22089,21999,21910,21823,21737
6203,Coronel Suárez,36828,37028,37228,37428,37628,37828,38028,38228,38428,38628,38812,38988,39163,39336,39506,39673,39838,40001,40162,40320,40474,40627,40778,40927,41073
6231,Daireaux,15857,15985,16114,16242,16371,16499,16628,16756,16885,17013,17138,17263,17387,17508,17629,17747,17863,17979,18093,18204,18314,18422,18530,18635,18738
6238,Dolores,25216,25442,25668,25894,26120,26347,26573,26799,27025,27251,27406,27559,27711,27860,28007,28152,28296,28438,28576,28714,28849,28982,29113,29242,29370
6245,Ensenada,51448,52079,52709,53340,53970,54601,55231,55862,56492,57123,57615,58103,58585,59062,59532,59995,60452,60903,61346,61783,62214,62638,63057,63469,63874
6252,Escobar,178155,182277,186400,190522,194644,198767,202889,207011,211134,215256,218766,223018,227205,231337,235408,239461,243456,247385,251245,255073,258805,262495,266121,269692,273209
6266,Exaltación de la Cruz,24167,24803,25438,26074,26710,27345,27981,28617,29252,29888,30591,31288,31978,32659,33330,33991,34643,35287,35922,36545,37161,37766,38364,38953,39532
6277,Florentino Ameghino,8171,8256,8340,8425,8509,8594,8678,8763,8847,8932,9007,9082,9155,9228,9300,9371,9441,9510,9578,9645,9711,9776,9839,9903,9964
6280,General Alvarado,34391,34996,35601,36206,36811,37417,38022,38627,39232,39837,40293,40744,41191,41632,42066,42494,42917,43334,43744,44149,44546,44938,45326,45707,46083
6287,General Alvear,10897,10934,10972,11009,11047,11084,11122,11159,11197,11234,11260,11286,11311,11336,11361,11385,11410,11433,11456,11480,11503,11524,11546,11568,11590
6294,General Arenales,14876,14894,14913,14931,14950,14968,14987,15005,15024,15042,15044,15047,15048,15050,15052,15054,15056,15058,15059,15061,15062,15064,15066,15068,15070
6301,General Belgrano,15381,15614,15846,16079,16311,16544,16776,17009,17241,17474,17665,17856,18045,18230,18414,18594,18773,18949,19123,19293,19461,19627,19790,19951,20110
6308,General Guido,2771,2779,2787,2794,2802,2810,2818,2825,2833,2841,2847,2852,2857,2862,2867,2872,2877,2882,2887,2892,2897,2901,2906,2910,2915
6315,General Juan Madariaga,18286,18463,18640,18817,18994,19172,19349,19526,19703,19880,20062,20241,20419,20594,20767,20938,21106,21273,21436,21596,21755,21912,22065,22217,22367
6322,General La Madrid,10984,10974,10964,10953,10943,10933,10923,10912,10902,10892,10866,10839,10814,10788,10763,10738,10713,10689,10665,10642,10619,10596,10573,10551,10529
6329,General Las Heras,12799,13039,13278,13518,13757,13997,14236,14476,14715,14955,15215,15472,15727,15978,16226,16469,16710,16948,17182,17412,17639,17863,18083,18300,18514
6336,General Lavalle,3063,3135,3207,3280,3352,3424,3496,3569,3641,3713,3792,3870,3947,4023,4099,4172,4246,4318,4389,4459,4528,4596,4663,4729,4794
6343,General Paz,10319,10427,10536,10644,10752,10861,10969,11077,11186,11294,11343,11392,11441,11489,11536,11583,11629,11674,11719,11763,11806,11849,11891,11932,11973
6351,General Pinto,11129,11155,11181,11207,11233,11259,11285,11311,11337,11363,11379,11394,11409,11423,11438,11452,11467,11481,11494,11508,11521,11534,11547,11560,11573
6357,General Pueyrredón,564056,570760,577463,584167,590870,597574,604277,610981,617684,624388,627723,631064,634372,637637,640855,644055,647215,650332,653406,656456,659462,662430,665357,668242,671085
6364,General Rodríguez,67931,70087,72244,74400,76557,78713,80870,83026,85183,87339,89700,92041,94357,96643,98895,101116,103308,105469,107599,109695,111759,113795,115802,117780,119727
6385,General Viamonte,17641,17707,17772,17838,17904,17969,18035,18101,18166,18232,18288,18343,18397,18451,18505,18556,18608,18659,18709,18758,18807,18855,18903,18949,18995
6392,General Villegas,28960,29197,29434,29671,29908,30144,30381,30618,30855,31092,31324,31555,31784,32009,32232,32451,32667,32880,33090,33297,33501,33701,33899,34094,34286
6399,Guaminí,11257,11330,11404,11477,11551,11624,11698,11771,11845,11918,11988,12058,12127,12195,12263,12329,12394,12458,12522,12584,12646,12707,12766,12825,12883
6406,Hipólito Yrigoyen,8819,8912,9005,9098,9191,9285,9378,9471,9564,9657,9722,9784,9847,9909,9970,10029,10089,10148,10205,10262,10318,10373,10427,10480,10533
6413,Junín,88664,88945,89226,89507,89788,90068,90349,90630,90911,91192,92712,92811,92911,93013,93115,93168,93221,93274,93329,93384,93440,93497,93553,93611,93670
6420,La Costa,60483,61544,62605,63666,64727,65789,66850,67911,68972,70033,70933,71826,72708,73580,74439,75285,76121,76945,77756,78554,79341,80118,80883,81637,82379
6441,La Plata,574369,583836,593304,602771,612238,621706,631173,640640,650108,659575,664746,670477,676195,681831,687378,692779,698164,703504,708733,713947,719013,724010,728912,733741,738505
6448,Laprida,9683,9750,9817,9884,9951,10019,10086,10153,10220,10287,10353,10417,10481,10544,10606,10668,10728,10788,10847,10905,10962,11018,11074,11128,11182
6455,Las Flores,23551,23611,23670,23730,23789,23849,23908,23968,24027,24087,24127,24157,24186,24215,24244,24272,24300,24328,24355,24382,24410,24436,24462,24487,24513
6462,Leandro N. Alem,16358,16423,16488,16553,16618,16682,16747,16812,16877,16942,16995,17047,17099,17150,17200,17250,17300,17348,17396,17442,17489,17534,17580,17624,17667
6469,Lincoln,41127,41247,41366,41486,41606,41725,41845,41965,42084,42204,42216,42227,42238,42248,42259,42270,42281,42291,42302,42312,42323,42333,42342,42353,42363
6476,Lobería,17008,17082,17155,17229,17303,17376,17450,17524,17597,17671,17736,17799,17863,17925,17986,18047,18107,18166,18224,18281,18338,18393,18447,18502,18555
6483,Lobos,33141,33504,33866,34229,34591,34954,35316,35679,36041,36404,36765,37132,37496,37854,38208,38557,38900,39239,39573,39901,40225,40544,40858,41168,41473
6497,Luján,93992,95425,96857,98290,99723,101155,102588,104021,105453,106886,108250,109603,110942,112263,113564,114848,116114,117364,118593,119805,120998,122174,123334,124477,125602
6505,Magdalena,16603,16861,17119,17377,17635,17892,18150,18408,18666,18924,19121,19315,19508,19697,19883,20041,20195,20346,20493,20613,20729,20842,20953,21059,21163
6511,Maipú,10193,10200,10207,10214,10221,10227,10234,10241,10248,10255,10263,10275,10288,10301,10314,10328,10343,10357,10372,10388,10402,10419,10435,10452,10469
6518,Mar Chiquita,17908,18292,18675,19059,19443,19826,20210,20594,20977,21361,21782,22199,22612,23019,23420,23816,24206,24591,24971,25344,25712,26075,26432,26784,27131
6525,Marcos Paz,43400,44615,45830,47046,48261,49476,50691,51907,53122,54337,55618,56887,58145,59385,60607,61811,63001,64174,65329,66466,67586,68691,69780,70853,71909
6532,Mercedes,59870,60302,60734,61166,61598,62031,62463,62895,63327,63759,64184,64607,65025,65437,65844,66245,66640,67030,67415,67793,68165,68532,68895,69252,69603
6547,Monte,17488,17891,18293,18696,19098,19501,19903,20306,20708,21111,21357,21638,21915,22207,22482,22832,23127,23396,23699,23896,24198,24485,24796,25103,25393
6553,Monte Hermoso,5602,5706,5809,5913,6016,6120,6223,6327,6430,6534,6630,6718,6807,6895,6980,7064,7147,7230,7310,7390,7468,7546,7621,7695,7769
