RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO,CPV2010_REF_ID,IDPROV,PROV,NOMPROV,radio,AGLOMERADO
1,1,1,1,1,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010101,32
2,2,1,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010201,32
3,2,2,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010202,32
4,2,3,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010203,32
5,2,4,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010204,32
6,2,5,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010205,32
7,2,6,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010206,32
8,2,7,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010207,32
9,2,8,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010208,32
10,2,9,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010209,32
11,2,10,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010210,32
12,2,11,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010211,32
13,2,12,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010212,32
14,2,13,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010213,32
15,2,14,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010214,32
16,2,15,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010215,32
17,2,16,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010216,32
18,2,17,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010217,32
19,2,18,1,2,1,1,2001,Comuna 01,1,2,2,Ciudad Autónoma de Buenos Aires,20010218,32
