path,artifact_family,period_coverage,size_bytes,sha256,row_count,column_count,schema_hash_header_sha256,producer,commit_evidence,status,availability,inspection_note
artifacts/models/clf1_2003_ARG,staged_model,2003,28747672,17fcac89aff675c8d7156e1df8aabc4932df914d8ff3f93d6296c4f20b25ee0d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2004_ARG,staged_model,2004,38176835,6f181e04614c07888e169e24a203732b24d486d03f8a0a014923aab5917ff0f7,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2005_ARG,staged_model,2005,38251924,811f6caa7cc1d118087d951747c9ed0ab221d5d6307107da96552c251b751d77,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2006_ARG,staged_model,2006,40371709,4d041a56c407f8d3909265c317b3e6161f9eac105652afb183b98588fabf56ad,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2007_ARG,staged_model,2007,37338501,c4e01057b1c219602251c280099dc6a736b5bc2faa84e21ef1dc2bdfb989960e,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2008_ARG,staged_model,2008,40964561,909dca1f1efbfbb6004988dce9bdf8daa38fd63c0c3e39fcdb5ffb8269d04579,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2009_ARG,staged_model,2009,41596940,beb8e49f390650fc9ee3e6b0e01c39813dffea4023cf258196eba7976387c2bd,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2010_ARG,staged_model,2010,40636033,f83da72231837c7e78da4bd3b14320064477a8a5163cbb9fb6cbb53db680ee6d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2011_ARG,staged_model,2011,40382643,39642f58d3b72886586d7dfa61d0fc3b16c241058603e85c984389c3bad834c7,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2012_ARG,staged_model,2012,40298313,6e035304593039dafcf8c0035522227472e3e277b89aeff7664dd64c0c6204c2,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2013_ARG,staged_model,2013,40462438,4e475affa7500a3b6c38860e0044c8b02753347c350cc4f0106f5657cad3181d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2014_ARG,staged_model,2014,41817402,3c5818a440eba6c4aff7088b30cab0f1872c842c2e69a7f85d0023c3b9f00bf5,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2015_ARG,staged_model,2015,32301798,436f08058e5287ec6e4176f188e80d5dd043dbeced4da9c18cae3a0d820ecb20,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2016_ARG,staged_model,2016,36179850,e606a08ac25d653d3f780b73fa8ef24f31a3ab63cbba5d6911998fc4555dd821,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2017_ARG,staged_model,2017,40638273,3c99f1a341d356d54a4500cc5ade441d32ac4dd819cab3752f7508482047b980,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2018_ARG,staged_model,2018,40873608,89bc3759cfbe2533d2e21b1ee75b6fee86318f8261a847facc85fe93b35f865b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2019_ARG,staged_model,2019,41706089,06bae3997a0b8fcb8b7acb36cf212132f87a1a658f85eb7e0d476e2f112d0802,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2020_ARG,staged_model,2020,37432019,953e3b84c0cec129823fdc5d66744d41f9b8698dddb85f21f19baba4e366cc3f,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2021_ARG,staged_model,2021,38832966,6befe9f97afa93c192c9c912926acfd34f6150a7e7b3b03fe3ec5b2221fa058d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2022_ARG,staged_model,2022,5025380,d82778d279718d86f18e97d925b4005e7c9bd99e49b7cdc9157a2adb05cbf223,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2023_ARG,staged_model,2023,5084920,eb1dd46994c62cec76786936f63bc27d3b4eb9cf11ad225f3d25b9903c24a12b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2024_ARG,staged_model,2024,4982429,c268ebf6910e0bd4ea0122ffd4bb6afea859a468c94ae86f1bc4d01257abc041,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf1_2025_ARG,staged_model,2025,3722828,b7c7db1984604bf3623a5a1e678e92550ae97cb0d0b721623ae44d1a4760047b,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2003_ARG,staged_model,2003,14942523,9d38b67bd77b77e79c5312889c126b0bc731591496d746009795f6cbf72bd526,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2004_ARG,staged_model,2004,22527656,37453461ddcc5856e5f3e7ab1c07e78428bfe5361b5a831a10252350970d588d,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2005_ARG,staged_model,2005,21739612,b6f276660349376e97c32cb54f17f570749a1dd34dfa78d8bff2518219a41c49,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
artifacts/models/clf2_2006_ARG,staged_model,2006,24500602,cf0a76688dd0362f7d45f9cbe12eedce9b4141982ad15b75e411fee412245b6c,,,,src/encuestador/entrenar_modelos.py,d9d8e01e80c3cbc3c41cb2c17e3f5ef9706b7152,model,tracked,inspected metadata only
